rank,title,ratings,rating_num,meta
61,海边的卡夫卡,8.1,57322,[日] 村上春树 / 林少华 / 上海译文出版社 / 2003-4 / 25.00元
62,盗墓笔记,8.4,55416,南派三叔 / 中国友谊出版公司 / 2007-1 / 26.80元
63,三国演义（全二册）,9.2,51541,[明] 罗贯中 / 人民文学出版社 / 1998-05 / 39.50元
64,基督山伯爵,8.9,47163,大仲马 / 周克希 / 上海译文出版社 / 1991-12-1 / 43.90元
65,许三观卖血记,8.6,53967,余华 / 南海出版公司 / 1998-9 / 16.80元
66,窗边的小豆豆,8.7,53081,[日] 黑柳彻子 著 / 赵玉皎 / 南海出版公司 / 2003-1 / 20.00元
67,兄弟（上）,8.3,55255,余华 / 上海文艺出版社 / 2005-8 / 16.00元
68,恶意,8.4,54525,[日] 东野圭吾 / 娄美莲 / 南海出版公司 / 2009-6 / 18.00
69,撒哈拉的故事,9.0,51546,三毛 / 皇冠出版社 / 1976 / 160 TWD
70,呼啸山庄,8.4,53195,艾米莉·勃朗特 / 张扬 / 人民文学出版社 / 1999-1 / 27.30元
71,笑傲江湖（全四册）,8.9,46785,金庸 / 生活·读书·新知三联书店 / 1994-5 / 76.80元
72,悟空传,8.4,52276,今何在 / 光明日报出版社 / 2001-4 / 14.80元
73,三生三世 十里桃花,8.3,52855,唐七公子 / 沈阳出版社 / 2009-1 / 26.80
74,黄金时代,8.8,50214,王小波 / 花城出版社 / 1999-3 / 19.00元
75,民主的细节,8.6,50336,刘瑜 / 上海三联书店 / 2009-6 / 25.00
76,少有人走的路,8.4,50208,[美] M·斯科特·派克 / 于海生 / 吉林文史出版社 / 2007-1 / 26.00元
77,遇见未知的自己,8.1,51177,张德芬 / 华夏出版社 / 2008-1 / 29.00
78,福尔摩斯探案全集（上中下）,9.2,46088,[英] 阿·柯南道尔 / 丁钟华 等 / 群众出版社 / 1981-8 / 53.00元/68.00元
79,亲爱的安德烈,8.7,48410,龙应台 / 人民文学出版社 / 2008-12 / 26.00
80,一九八四·动物农场,9.2,23648,[英] 乔治·奥威尔 / 董乐山 / 上海译文出版社 / 2003-4 / 23.00元
81,从你的全世界路过,7.3,54648,张嘉佳 / 湖南文艺出版社 / 2013-11-1 / 36.00元
82,小时代1.0折纸时代,6.7,57435,郭敬明 / 长江文艺出版社 / 2008-10 / 29.80元
83,百年孤独,8.9,46018,[哥伦比亚] 加西亚·马尔克斯 / 黄锦炎 / 上海译文出版社 / 1989-10 / 12.70元
84,灿烂千阳,8.7,46378,[美] 卡勒德·胡赛尼 / 李继宏 / 上海人民出版社 / 2007-9 / 28.00元
85,霍乱时期的爱情,9.0,45708,[哥伦比亚] 加西亚·马尔克斯 / 杨玲 / 南海出版公司 / 2012-9-1 / 39.50元
86,老人与海,8.3,48342,海明威 / 吴劳 / 上海译文出版社 / 1999-10 / 8.20元
87,素年锦时,7.8,50293,安妮宝贝 / 作家出版社 / 2007-9 / 27.00元
88,洛丽塔,7.7,50145,[美] 弗拉基米尔·纳博科夫 / 主万 / 上海译文出版社 / 2005-12 / 27.00元
89,第一次的亲密接触,7.4,51255,蔡智恒 / 知识出版社 / 1999-11-1 / 12.80
90,1Q84 BOOK 2,8.4,46229,[日] 村上春树 / 施小炜 / 南海出版公司 / 2010-6 / 36.00元
91,情书,8.6,44052,[日] 岩井俊二 / 穆晓芳 / 天津人民出版社 / 2004-7 / 18.00元
92,彼岸花,7.8,47723,安妮宝贝 / 南海出版公司 / 2001-9 / 20.00元
93,一座城池,7.4,49542,韩寒 / 二十一世纪出版社 / 2006-1 / 19.90元
94,麦田里的守望者,7.9,46738,[美国] J. D. 塞林格 / 施咸荣 / 译林出版社 / 1997-2 / 7.80元
95,他的国,7.5,48579,韩寒 / 万卷出版公司 / 2009-1 / 25.00元
96,神雕侠侣,8.8,42480,金庸 / 三联书店 / 1994-5 / 76.8
97,牧羊少年奇幻之旅,8.7,42286,[巴西]保罗·柯艾略 / 丁文林 / 南海出版公司 / 2009-3-1 / 25.00元
98,八月未央,7.5,47022,安妮宝贝 / 作家出版社 / 2001-1 / 16.00元
99,这些都是你给我的爱,8.5,42458,文：安东尼 / 长江文艺出版社 / 2010-3 / 24.80元
100,西决,8.0,44577,笛安 / 长江文艺出版社 / 2009-3 / 22.80元
